Iteration Per Action,Score,Percentile
1,4368,0
1,2892,0
1,1200,0
1,768,0
1,1464,0
1,2416,0
1,2372,0
1,1824,0
1,668,0
1,1484,0
1,2116,0
1,1484,0
1,1000,0
1,1028,0
1,1332,0
1,884,0
1,2636,0
1,4840,0
1,1456,0
1,4228,0
1,2280,0
1,2900,0
1,2372,0
1,2668,0
1,4964,0
1,5952,0
1,2704,0
1,2136,0
1,1768,0
1,5428,0
1,2468,0
1,2636,0
1,4108,0
1,696,0
1,988,0
1,4336,0
1,2292,0
1,1172,0
1,864,0
1,1084,0
1,1620,0
1,1672,0
1,2896,0
1,2112,0
1,1464,0
1,952,0
1,2116,0
1,3964,0
1,2744,0
1,5864,0
1,2804,0
1,4644,0
1,1344,0
1,712,0
1,4880,0
1,6336,0
1,2716,0
1,2804,0
1,1920,0
1,2844,0
1,1332,0
1,1568,0
1,1532,0
1,1296,0
1,640,0
1,2116,0
1,808,0
1,2988,0
1,2380,0
1,2684,0
1,2752,0
1,3512,0
1,2880,0
1,4568,0
1,2172,0
1,2596,0
1,616,0
1,2584,0
1,4876,0
1,456,0
1,2628,0
1,3028,0
1,1856,0
1,2048,0
1,1208,0
1,2304,0
1,4968,0
1,6020,0
1,2312,0
1,2412,0
1,1256,0
1,2732,0
1,2932,0
1,2804,0
1,2956,0
1,4324,0
1,332,0
1,2824,0
1,1752,0
1,2148,0
2,6276,0
2,2532,0
2,3528,0
2,2692,0
2,4212,0
2,1244,0
2,2312,0
2,2428,0
2,10044,0
2,5328,0
2,6640,0
2,3152,0
2,2632,0
2,2884,0
2,2048,0
2,2780,0
2,2300,0
2,2796,0
2,1560,0
2,2520,0
2,2740,0
2,432,0
2,5092,0
2,5240,0
2,1148,0
2,2636,0
2,2592,0
2,992,0
2,1612,0
2,4264,0
2,408,0
2,2880,0
2,1108,0
2,4944,0
2,5220,0
2,2796,0
2,1208,0
2,8976,0
2,1100,0
2,4456,0
2,500,0
2,688,0
2,9764,0
2,4948,0
2,5332,0
2,2744,0
2,2916,0
2,3352,0
2,2200,0
2,2892,0
2,3480,0
2,2924,0
2,2736,0
2,3412,0
2,1352,0
2,6268,0
2,1204,0
2,532,0
2,1336,0
2,9776,0
2,1492,0
2,2632,0
2,548,0
2,1268,0
2,596,0
2,640,0
2,2864,0
2,2944,0
2,2256,0
2,2172,0
2,2404,0
2,6892,0
2,1336,0
2,1252,0
2,6612,0
2,528,0
2,504,0
2,2676,0
2,4192,0
2,6596,0
2,6340,0
2,1224,0
2,2216,0
2,2544,0
2,2904,0
2,2584,0
2,2188,0
2,4744,0
2,4320,0
2,2708,0
2,2608,0
2,2936,0
2,2796,0
2,2248,0
2,4604,0
2,1256,0
2,4392,0
2,3036,0
2,3332,0
2,1248,0
3,6156,0
3,4944,0
3,2196,0
3,3052,0
3,2176,0
3,4248,0
3,2864,0
3,2892,0
3,5976,0
3,4184,0
3,2404,0
3,492,0
3,4256,0
3,5304,0
3,5896,0
3,3200,0
3,2760,0
3,1252,0
3,2596,0
3,1168,0
3,5508,0
3,9840,0
3,944,0
3,11356,0
3,2228,0
3,1528,0
3,1876,0
3,4784,0
3,1316,0
3,2800,0
3,3352,0
3,5120,0
3,6620,0
3,2600,0
3,5064,0
3,4924,0
3,4936,0
3,5236,0
3,4560,0
3,1280,0
3,5932,0
3,6572,0
3,1020,0
3,2568,0
3,6504,0
3,4348,0
3,4904,0
3,2944,0
3,4636,0
3,2680,0
3,1228,0
3,5852,0
3,1568,0
3,2784,0
3,2692,0
3,1328,0
3,6500,0
3,2660,0
3,2076,0
3,2324,0
3,4972,0
3,2828,0
3,2584,0
3,4836,0
3,3148,0
3,5064,0
3,1328,0
3,1932,0
3,2812,0
3,6692,0
3,1360,0
3,4016,0
3,520,0
3,4080,0
3,2208,0
3,5624,0
3,4660,0
3,4604,0
3,2624,0
3,1892,0
3,1952,0
3,2816,0
3,5044,0
3,2756,0
3,2908,0
3,1156,0
3,2180,0
3,5008,0
3,5268,0
3,2804,0
3,2836,0
3,1044,0
3,2180,0
3,2140,0
3,1088,0
3,1928,0
3,3084,0
3,2752,0
3,6580,0
3,1020,0
4,1248,0
4,724,0
4,9720,0
4,5692,0
4,13564,0
4,4196,0
4,2920,0
4,2964,0
4,5652,0
4,5192,0
4,4880,0
4,2228,0
4,9208,0
4,6868,0
4,2924,0
4,6492,0
4,4944,0
4,6416,0
4,4720,0
4,500,0
4,2948,0
4,2920,0
4,6828,0
4,1300,0
4,6268,0
4,5112,0
4,2928,0
4,1164,0
4,5044,0
4,6824,0
4,2884,0
4,6748,0
4,2768,0
4,2752,0
4,2116,0
4,2904,0
4,1228,0
4,2084,0
4,10692,0
4,6528,0
4,2300,0
4,1292,0
4,2836,0
4,5896,0
4,840,0
4,5832,0
4,900,0
4,2468,0
4,1844,0
4,4944,0
4,6412,0
4,4936,0
4,3280,0
4,5520,0
4,6616,0
4,2892,0
4,6524,0
4,1276,0
4,1092,0
4,9136,0
4,6016,0
4,2416,0
4,5548,0
4,1472,0
4,2972,0
4,2684,0
4,2524,0
4,2112,0
4,2808,0
4,2252,0
4,2836,0
4,7248,0
4,1248,0
4,2640,0
4,4324,0
4,2532,0
4,2916,0
4,2832,0
4,6292,0
4,6588,0
4,6588,0
4,2980,0
4,3516,0
4,6112,0
4,2684,0
4,1188,0
4,2696,0
4,588,0
4,11380,0
4,4892,0
4,3032,0
4,5044,0
4,2112,0
4,5612,0
4,2832,0
4,5304,0
4,6684,0
4,5332,0
4,2872,0
4,4276,0
5,6560,0
5,4904,0
5,6296,0
5,1148,0
5,6504,0
5,4964,0
5,6820,0
5,6232,0
5,2516,0
5,500,0
5,5848,0
5,3008,0
5,4880,0
5,4924,0
5,4252,0
5,2900,0
5,2556,0
5,6660,0
5,5128,0
5,3124,0
5,2804,0
5,5256,0
5,2116,0
5,11108,0
5,10444,0
5,2700,0
5,5088,0
5,4448,0
5,2168,0
5,10976,0
5,5876,0
5,2444,0
5,11372,0
5,10648,0
5,672,0
5,6860,0
5,6272,0
5,6844,0
5,3028,0
5,2924,0
5,2796,0
5,2284,0
5,1276,0
5,4792,0
5,11200,0
5,2772,0
5,4324,0
5,2900,0
5,6624,0
5,11424,0
5,4940,0
5,6644,0
5,5368,0
5,6488,0
5,1680,0
5,6408,0
5,6028,0
5,3120,0
5,6060,0
5,2800,0
5,6096,0
5,1000,0
5,4568,0
5,5972,0
5,4852,0
5,5248,0
5,2720,0
5,11348,0
5,2808,0
5,11416,0
5,5852,0
5,5036,0
5,3180,0
5,6552,0
5,4156,0
5,10044,0
5,5840,0
5,2924,0
5,3136,0
5,5832,0
5,2628,0
5,6304,0
5,840,0
5,2840,0
5,6712,0
5,5760,0
5,4316,0
5,6164,0
5,2796,0
5,4812,0
5,1928,0
5,6620,0
5,2764,0
5,5752,0
5,6672,0
5,4356,0
5,5040,0
5,6612,0
5,2988,0
5,2176,0
6,6432,0
6,6632,0
6,2488,0
6,2808,0
6,3144,0
6,5340,0
6,6644,0
6,11356,0
6,4724,0
6,5008,0
6,5356,0
6,2752,0
6,2112,0
6,6384,0
6,5236,0
6,1892,0
6,3172,0
6,6592,0
6,2772,0
6,3096,0
6,7484,0
6,9720,0
6,6392,0
6,5376,0
6,10384,0
6,4960,0
6,4944,0
6,6284,0
6,2528,0
6,2800,0
6,1224,0
6,6840,0
6,5224,0
6,6612,0
6,2724,0
6,4880,0
6,11220,0
6,4844,0
6,13204,0
6,6460,0
6,3196,0
6,6460,0
6,9504,0
6,11540,0
6,4944,0
6,4680,0
6,11396,0
6,6324,0
6,6660,0
6,2572,0
6,4412,0
6,6528,0
6,2896,0
6,11340,0
6,1576,0
6,5308,0
6,536,0
6,1348,0
6,5068,0
6,2720,0
6,5828,0
6,4868,0
6,548,0
6,10544,0
6,6928,0
6,2668,0
6,5888,0
6,5228,0
6,11444,0
6,2752,0
6,4960,0
6,2800,0
6,14264,0
6,5924,0
6,4324,0
6,6396,0
6,5800,0
6,5100,0
6,6604,0
6,2520,0
6,4136,0
6,11176,0
6,10156,0
6,6492,0
6,2132,0
6,2828,0
6,1028,0
6,844,0
6,6424,0
6,9724,0
6,6228,0
6,6576,0
6,2832,0
6,2476,0
6,14876,0
6,4892,0
6,6804,0
6,6000,0
6,4944,0
6,9696,0
7,12104,0
7,2868,0
7,6344,0
7,5612,0
7,7140,0
7,1096,0
7,1920,0
7,11360,0
7,6584,0
7,2924,0
7,2076,0
7,2896,0
7,13836,0
7,6556,0
7,6308,0
7,6620,0
7,2792,0
7,5900,0
7,1228,0
7,5964,0
7,4496,0
7,4956,0
7,13764,0
7,5924,0
7,6652,0
7,6804,0
7,11644,0
7,13768,0
7,5764,0
7,10728,0
7,1184,0
7,6772,0
7,4960,0
7,5600,0
7,2476,0
7,10464,0
7,6552,0
7,1948,0
7,4448,0
7,7352,0
7,6532,0
7,6528,0
7,14432,0
7,6976,0
7,10708,0
7,4972,0
7,6664,0
7,2796,0
7,14724,0
7,23536,0
7,6156,0
7,11416,0
7,1024,0
7,4912,0
7,9104,0
7,1684,0
7,2800,0
7,2188,0
7,4384,0
7,5896,0
7,2436,0
7,3036,0
7,7804,0
7,5960,0
7,4596,0
7,2900,0
7,14072,0
7,4580,0
7,11468,0
7,5652,0
7,6520,0
7,2928,0
7,11696,0
7,9844,0
7,5024,0
7,13364,0
7,6672,0
7,12768,0
7,6568,0
7,5060,0
7,6560,0
7,6012,0
7,11044,0
7,6380,0
7,6884,0
7,13904,0
7,5948,0
7,6684,0
7,4988,0
7,2792,0
7,9780,0
7,14244,0
7,7960,0
7,5180,0
7,2168,0
7,3076,0
7,2448,0
7,4808,0
7,6556,0
7,6492,0
8,11112,0
8,6412,0
8,6696,0
8,2900,0
8,6548,0
8,6280,0
8,2844,0
8,14408,0
8,6256,0
8,2844,0
8,5904,0
8,5732,0
8,8988,0
8,2912,0
8,2940,0
8,14148,0
8,4700,0
8,6532,0
8,6616,0
8,11676,0
8,6644,0
