Iteration Per Action,Score,Chosen element number,Percentile
1,4692,1,100
8,2532,8,100
4,2736,4,100
8,5112,3,30
1,1212,1,20
8,6272,5,50
4,2456,3,80
2,2272,2,60
8,9836,7,90
4,5072,2,20
2,2652,2,90
16,7084,10,60
16,2532,13,80
2,2996,2,70
16,6316,11,70
1,2564,1,40
2,5216,1,10
1,1580,1,60
4,4840,3,50
8,4148,8,100
1,1492,1,30
1,1204,1,80
2,10728,1,20
4,1020,3,60
8,6628,0,0
1,1284,1,20
2,2996,2,100
8,4204,7,90
8,2652,3,30
2,2980,1,20
8,11328,2,20
16,11160,10,60
16,15248,5,30
4,1308,4,100
1,2488,1,20
16,10748,10,60
4,972,3,70
4,2640,4,100
8,6100,5,60
4,6368,3,50
8,7644,3,30
16,21528,5,30
4,1176,0,0
1,412,1,90
2,2376,2,80
16,9568,10,60
1,5648,1,80
8,2108,7,80
2,1180,0,0
16,936,16,100
1,2768,0,0
8,7072,3,30
16,6068,5,30
8,2044,8,100
1,1248,1,70
1,3904,1,40
1,3080,1,50
8,12200,2,10
4,6236,3,80
1,1208,1,40
8,1164,8,100
8,4144,8,100
1,932,1,60
16,6536,11,70
4,2652,4,90
16,5172,7,40
4,1268,2,40
16,6628,9,50
1,568,1,20
16,6920,3,10
8,1240,8,100
16,6668,4,20
1,584,1,40
16,11492,9,50
2,1212,2,90
16,5948,4,20
2,4324,0,0
1,4912,1,100
16,5700,16,100
16,10800,10,60
8,2876,7,90
8,2724,7,80
4,4820,3,60
2,1440,1,50
8,2908,5,50
4,10988,3,50
2,1244,2,80
8,10492,4,40
1,2952,1,30
8,1344,3,30
8,6652,6,70
16,10804,9,50
8,12096,0,0
1,3716,1,20
16,5268,4,20
2,3384,1,50
2,5324,1,30
2,1184,1,30
2,1468,1,40
16,10864,11,70
2,2844,1,30
1,3460,1,100
8,4308,2,20
4,1848,3,50
8,4944,3,30
4,4904,1,10
1,988,1,20
16,5808,13,80
16,2872,5,30
4,2824,2,40
2,2240,2,100
2,6708,1,50
1,5032,1,10
4,5152,4,90
1,1144,0,0
2,4340,1,50
16,6552,3,10
16,14632,0,0
4,1156,3,70
8,5800,5,60
8,664,6,70
2,2080,1,50
16,2912,3,10
1,2724,1,40
2,988,0,0
8,3184,5,50
2,644,0,0
8,6080,3,30
16,6204,9,50
8,5012,7,80
8,15224,0,0
4,2724,1,10
1,804,1,60
1,1296,1,10
16,3052,13,80
8,6012,4,40
8,4540,5,50
8,6708,2,20
4,6388,2,40
2,1436,2,90
8,12864,3,30
2,1376,2,70
1,716,1,70
1,2620,1,80
4,560,4,90
1,6004,1,90
4,6368,2,30
2,2220,0,0
2,5252,1,10
1,4296,0,0
16,1212,11,70
16,2672,15,90
1,460,1,60
2,5164,2,70
4,728,2,40
1,4256,1,60
1,1144,1,20
1,3116,0,0
16,6188,3,10
8,10048,0,0
8,6228,5,50
8,1476,8,100
2,2156,2,60
2,2036,2,100
16,6544,4,20
2,2908,1,20
1,2380,1,90
1,3056,1,100
2,2608,1,10
8,6780,7,80
8,11000,4,40
1,1300,1,50
1,1056,1,40
4,3120,3,70
8,232,7,80
1,232,1,40
1,264,1,40
1,576,1,90
16,4628,11,70
2,3084,1,20
2,2752,2,60
1,2236,1,30
8,1292,7,80
8,2552,8,100
8,1952,2,20
8,2824,7,90
4,3268,3,50
4,1304,3,80
2,1028,0,0
8,10668,0,0
8,6176,3,30
4,5156,3,70
4,3152,3,60
2,2664,2,100
4,2472,4,90
16,6364,10,60
4,3080,0,0
2,1216,1,40
8,6620,2,10
2,5052,1,40
4,2496,1,10
8,1636,8,100
8,4896,7,80
16,1176,11,70
2,4856,2,100
16,2868,4,20
4,4324,3,80
4,6612,0,0
4,3000,3,60
16,3296,11,70
2,5012,0,0
16,11164,3,10
4,6176,2,20
1,1792,1,20
8,1848,8,100
